"c1","c2","phrase","freq"
"didn't","fe-","didn't fe-",1
"doesn't","check","doesn't check",1
"not","good","not good",25
"not","ancient","not ancient",1
"not","understand","not understand",11
"aren't","yellow","aren't yellow",2
"wasn't","meaning","wasn't meaning",1
"don't","each","don't each",1
"don't","perform","don't perform",2
"couldn't","and","couldn't and",1
"won't","support","won't support",1
"not","sly","not sly",1
"not","intimidated","not intimidated",1
"didn't","baudelaire","didn't baudelaire",1
"can't","tell","can't tell",32
"not","these","not these",3
"shouldn't","put","shouldn't put",2
"not","explaining","not explaining",1
"won't","he","won't he",1
"not","transverse","not transverse",1
"isn't","worthy","isn't worthy",1
"wasn't","my","wasn't my",4
"can't","spend","can't spend",1
"doesn't","sponsor","doesn't sponsor",1
"don't","i've","don't i've",3
"not","numbers","not numbers",2
"isn't","any","isn't any",7
"didn't","s-","didn't s-",1
"didn't","receive","didn't receive",3
"not","accounted","not accounted",1
"not","finish","not finish",2
"not","those","not those",2
"not","following","not following",7
"not","so-","not so-",1
"don't","quite","don't quite",13
"don't","need","don't need",131
"not","light","not light",1
"didn't","build","didn't build",1
"doesn't","include","doesn't include",3
"not","representative","not representative",4
"not","actors","not actors",1
"don't","afterwards","don't afterwards",1
"not","tolerable","not tolerable",1
"can't","accommodate","can't accommodate",1
"wouldn't","sell","wouldn't sell",1
"won't","arise","won't arise",1
"not","overpopulation","not overpopulation",1
"not","happen","not happen",6
"not","continuing","not continuing",1
"can't","avoid","can't avoid",1
"doesn't","bear","doesn't bear",1
"didn't","realize","didn't realize",13
"haven't","measured","haven't measured",1
"don't","separate","don't separate",1
"not","tend","not tend",1
"not","suitable","not suitable",2
"don't'","know","don't' know",1
"not","experimental","not experimental",1
"haven't","implemented","haven't implemented",1
"can't","uh","can't uh",2
"not","massive","not massive",1
"not","advertise","not advertise",1
"can't","um","can't um",6
"don't","renew","don't renew",1
"didn't","type","didn't type",1
"wasn't","surge","wasn't surge",1
"weren't","couldn't","weren't couldn't",1
"not","disobedience","not disobedience",1
"couldn't","fall","couldn't fall",1
"not","reversible","not reversible",3
"don't","bring","don't bring",10
"not","sp-","not sp-",1
"not","perceiving","not perceiving",1
"couldn't","skip","couldn't skip",1
"haven't","um","haven't um",4
"not","degrading","not degrading",1
"isn't","controversial","isn't controversial",2
"weren't","no","weren't no",1
"won't","it","won't it",4
"hadn't","thought","hadn't thought",4
"won't","allow","won't allow",1
"not","gonna","not gonna",337
"not","objective","not objective",1
"wasn't","multicultural","wasn't multicultural",1
"wasn't","on","wasn't on",2
"not","explicitly","not explicitly",4
"wouldn't","generate","wouldn't generate",1
"can't","absorb","can't absorb",1
"shouldn't","um","shouldn't um",1
"not","meaning","not meaning",1
"won't","c-x","won't c-x",1
"not","helping","not helping",3
"shouldn't","then","shouldn't then",2
"not","congruent","not congruent",3
"not","fed","not fed",1
"not","reveal","not reveal",1
"didn't","shoot","didn't shoot",1
"wasn't","d-t","wasn't d-t",1
"not","unique","not unique",1
"can't","convince","can't convince",1
"can't","satisfy","can't satisfy",2
"shouldn't","they","shouldn't they",5
"didn't","so","didn't so",1
"wasn't","out","wasn't out",1
"won't","come","won't come",3
"doesn't","perform","doesn't perform",1
"not","strictly","not strictly",3
"don't","mislead","don't mislead",1
"won't","all","won't all",1
"not","telling","not telling",5
"don't","appreciate","don't appreciate",1
"not","kant","not kant",1
"can't","print","can't print",1
"wouldn't","learn","wouldn't learn",1
"not","under","not under",3
"wasn't","looked","wasn't looked",1
"shouldn't","stress","shouldn't stress",1
"not","invol-","not invol-",1
"not","drug","not drug",1
"won't","want","won't want",2
"doesn't","demonstrate","doesn't demonstrate",1
"can't","the","can't the",3
"wasn't","sc-","wasn't sc-",1
"not","feminists","not feminists",1
"didn't","encounter","didn't encounter",1
"not","others","not others",3
"not","jupiter","not jupiter",1
"not","per","not per",1
"not","aware","not aware",1
"wouldn't","like","wouldn't like",3
"can't","we","can't we",10
"not","color","not color",1
"don't","reduce","don't reduce",1
"not","sufficiently","not sufficiently",1
"not","huge","not huge",1
"not","degrees","not degrees",1
"haven't","we","haven't we",2
"wasn't","giving","wasn't giving",1
"don't","kinda","don't kinda",1
"not","initiated","not initiated",1
"doesn't","wh-","doesn't wh-",1
"hasn't","given","hasn't given",1
"weren't","using","weren't using",1
"not","related","not related",5
"don't","alright","don't alright",1
"don't","hang","don't hang",1
"haven't","made","haven't made",4
"can't","because","can't because",6
"not","there're","not there're",2
"don't","germinate","don't germinate",1
"isn't","tru-","isn't tru-",1
"shouldn't","we","shouldn't we",7
"not","hearing","not hearing",1
"wasn't","s-","wasn't s-",1
"don't","proofread","don't proofread",1
"hasn't","really","hasn't really",6
"not","close","not close",2
"not","stepping","not stepping",1
"not","looked","not looked",1
"doesn't","bode","doesn't bode",1
"wasn't","something","wasn't something",3
"don't","miss","don't miss",1
"not","starting","not starting",3
"don't","understand","don't understand",117
"don't","sit","don't sit",1
"not","valid","not valid",2
"not","probably","not probably",3
"not","viewed","not viewed",1
"didn't","i've","didn't i've",1
"won't","play","won't play",1
"wasn't","ordained","wasn't ordained",1
"can't","stand","can't stand",3
"don't","retain","don't retain",1
"didn't","test","didn't test",1
"didn't","uh","didn't uh",9
"don't","maybe","don't maybe",1
"can't","promise","can't promise",1
"can't","observe","can't observe",1
"won't","and","won't and",1
"didn't","w-","didn't w-",1
"not","let's","not let's",2
"didn't","need","didn't need",11
"not","giving","not giving",9
"not","mentioned","not mentioned",2
"not","people","not people",4
"didn't","um","didn't um",3
"can't","divide","can't divide",1
"not","expensive","not expensive",1
"wouldn't","ask","wouldn't ask",1
"wouldn't","either","wouldn't either",2
"wasn't","specific","wasn't specific",1
"doesn't","leptin","doesn't leptin",1
"doesn't","particularly","doesn't particularly",1
"not","mine","not mine",2
"isn't","finished","isn't finished",1
"shouldn't","treat","shouldn't treat",1
"wouldn't","walk","wouldn't walk",1
"can't","throw","can't throw",1
"don't","address","don't address",2
"not","controlling","not controlling",1
"not","permit","not permit",1
"not","rusty","not rusty",1
"didn't","derive","didn't derive",1
"haven't","looked","haven't looked",12
"aren't","that's","aren't that's",1
"hadn't","decided","hadn't decided",1
"not","applicable","not applicable",2
"couldn't","surprising","couldn't surprising",1
"doesn't","beep","doesn't beep",1
"not","exclude","not exclude",3
"wouldn't","use","wouldn't use",6
"not","confused","not confused",2
"not","writing","not writing",3
"don't","but","don't but",8
"don't","sorta","don't sorta",1
"aren't","able","aren't able",4
"couldn't","ask","couldn't ask",1
"not","angry","not angry",1
"not","it-","not it-",1
"don't","buy","don't buy",6
"don't","place","don't place",2
"aren't","the","aren't the",20
"not","require","not require",4
"not","continual","not continual",1
"haven't","people","haven't people",1
"isn't","true","isn't true",3
"isn't","termi-","isn't termi-",1
"not","inertial","not inertial",1
"don't","usually","don't usually",8
"not","agree","not agree",4
"not","z-bars","not z-bars",1
"not","hydrastis","not hydrastis",1
"isn't","work","isn't work",1
"couldn't","use","couldn't use",2
"isn't","his","isn't his",3
"weren't","be-","weren't be-",1
"not","unreasonable","not unreasonable",1
"not","allowing","not allowing",1
"not","positive","not positive",4
"won't","won't","won't won't",2
"isn't","explained","isn't explained",1
"not","stratification","not stratification",1
"won't","just","won't just",2
"not","illegal","not illegal",1
"wasn't","so","wasn't so",8
"hasn't","been","hasn't been",30
"not","stringent","not stringent",1
"won't","change","won't change",2
"didn't","fit","didn't fit",5
"not","each","not each",1
"not","once","not once",1
"not","m-s-u","not m-s-u",1
"not","feeling","not feeling",3
"not","done","not done",14
"didn't","we","didn't we",15
"not","eno-","not eno-",2
"doesn't","speak","doesn't speak",6
"don't","deliver","don't deliver",2
"not","admitting","not admitting",1
"shouldn't","this","shouldn't this",1
"not","learn","not learn",1
"don't","pay","don't pay",8
"not","deny","not deny",1
"didn't","expect","didn't expect",6
"didn't","stay","didn't stay",2
"wouldn't","come","wouldn't come",1
"isn't","enough","isn't enough",1
"not","alive","not alive",1
"don't","record","don't record",2
"shouldn't","join","shouldn't join",1
"don't","will","don't will",1
"aren't","interested","aren't interested",2
"won't","warm","won't warm",1
"weren't","so","weren't so",2
"not","need","not need",8
"won't","take","won't take",1
"not","fit","not fit",1
"don't","francis","don't francis",1
"don't","punish","don't punish",1
"don't","dress","don't dress",1
"not","actually","not actually",21
"can't","possibly","can't possibly",4
"not","joking","not joking",1
"wouldn't","want","wouldn't want",16
"isn't","good","isn't good",1
"doesn't","resolve","doesn't resolve",1
"didn't","equal","didn't equal",1
"not","accepted","not accepted",1
"not","overwhelm","not overwhelm",1
"won't","of","won't of",1
"can't","test","can't test",1
"didn't","hang","didn't hang",1
"not","wa-","not wa-",1
"doesn't","teach","doesn't teach",1
"don't","back","don't back",1
"not","intended","not intended",2
"shouldn't","the","shouldn't the",1
"not","primitive","not primitive",1
"not","its","not its",3
"not","least","not least",1
"can't","cross","can't cross",1
"isn't","always","isn't always",3
"not","determined","not determined",1
"don't","support","don't support",1
"didn't","miss","didn't miss",1
"not","alternative","not alternative",1
"aren't","going","aren't going",5
"wasn't","uh","wasn't uh",6
"not","published","not published",2
"hadn't","finished","hadn't finished",1
"didn't","articulate","didn't articulate",1
"weren't","connected","weren't connected",1
"not","lined","not lined",1
"doesn't","doesn't","doesn't doesn't",6
"isn't","saying","isn't saying",1
"wasn't","um","wasn't um",5
"don't","sleep","don't sleep",1
"not","bermuda","not bermuda",1
"not","influence","not influence",1
"aren't","found","aren't found",1
"won't","talk","won't talk",5
"not","included","not included",3
"not","perceptual","not perceptual",1
"can't","reproduce","can't reproduce",6
"not","prepared","not prepared",1
"won't","flow","won't flow",1
"not","treatment","not treatment",2
"wouldn't","follow","wouldn't follow",1
"can't","restart","can't restart",1
"don't","diverge","don't diverge",1
"not","easily","not easily",2
"not","telemachus","not telemachus",1
"don't","comment","don't comment",1
"doesn't","put","doesn't put",1
"doesn't","usually","doesn't usually",4
"doesn't","count","doesn't count",6
"haven't","lost","haven't lost",1
"weren't","explaining","weren't explaining",1
"not","tempted","not tempted",3
"not","black","not black",1
"not","aggregated","not aggregated",2
"not","underestimate","not underestimate",2
"doesn't","last","doesn't last",2
"not","involved","not involved",2
"don't","keep","don't keep",1
"can't","trust","can't trust",1
"not","bilingual","not bilingual",1
"wasn't","zero","wasn't zero",1
"isn't","contrary","isn't contrary",1
"not","preparing","not preparing",1
"wasn't","living","wasn't living",1
"not","fundamental","not fundamental",4
"doesn't","even","doesn't even",22
"weren't","uh","weren't uh",2
"weren't","you","weren't you",5
"not","decreased","not decreased",1
"aren't","addressed","aren't addressed",1
"doesn't","ever","doesn't ever",2
"can't","start","can't start",1
"weren't","even","weren't even",4
"weren't","allowed","weren't allowed",1
"not","mad","not mad",1
"weren't","technically","weren't technically",1
"don't","okay","don't okay",4
"couldn't","call","couldn't call",2
"don't","affect","don't affect",1
"hadn't","read","hadn't read",1
"wasn't","clovis","wasn't clovis",1
"not","contagious","not contagious",1
"haven't","elaborated","haven't elaborated",1
"don't","metastasize","don't metastasize",1
"doesn't","collect","doesn't collect",1
"hadn't","given","hadn't given",1
"not","worrying","not worrying",2
"not","ordinary","not ordinary",1
"don't","nurture","don't nurture",3
"haven't","discarded","haven't discarded",1
"weren't","really","weren't really",10
"don't","found","don't found",1
"didn't","quite","didn't quite",8
"not","meiosis","not meiosis",2
"don't","freak","don't freak",1
"not","living","not living",1
"didn't","strike","didn't strike",1
"not","may","not may",1
"aren't","rea-","aren't rea-",1
"hasn't","even","hasn't even",2
"don't","hate","don't hate",2
"don't","remem-","don't remem-",1
"not","created","not created",1
"wasn't","well","wasn't well",1
"don't","only","don't only",1
"isn't","around","isn't around",3
"won't","ask","won't ask",3
"can't","attend","can't attend",1
"can't","repeat","can't repeat",1
"doesn't","hide","doesn't hide",1
"wasn't","she","wasn't she",4
"not","nearly","not nearly",5
"not","labor","not labor",1
"haven't","considered","haven't considered",2
"wouldn't","just","wouldn't just",2
"not","based","not based",5
"aren't","money","aren't money",1
"not","annuals","not annuals",2
"not","repeated","not repeated",1
"not","distinct","not distinct",1
"can't","analyze","can't analyze",1
"won't","use","won't use",2
"isn't","clearly","isn't clearly",1
"can't","i'm","can't i'm",1
"didn't","bring","didn't bring",5
"can't","state","can't state",1
"don't","regard","don't regard",1
"didn't","step","didn't step",1
"shouldn't","cuz","shouldn't cuz",1
"isn't","exposed","isn't exposed",1
"don't","disappear","don't disappear",1
"can't","get","can't get",58
"weren't","we","weren't we",4
"doesn't","wreck","doesn't wreck",1
"can't","predict","can't predict",5
"not","salary","not salary",1
"doesn't","lead","doesn't lead",2
"don't","stir","don't stir",2
"doesn't","kill","doesn't kill",4
"can't","manipulate","can't manipulate",1
"doesn't","te-","doesn't te-",1
"isn't","suicide","isn't suicide",1
"don't","don't","don't don't",14
"wouldn't","take","wouldn't take",6
"didn't","fixate","didn't fixate",1
"wouldn't","download","wouldn't download",1
"not","invasive","not invasive",1
"not","musical","not musical",1
"couldn't","look","couldn't look",1
"can't","absolutely","can't absolutely",1
"not","me-","not me-",1
"haven't","seen","haven't seen",35
"wasn't","anyone","wasn't anyone",1
"not","covered","not covered",2
"don't","present","don't present",1
"not","studied","not studied",1
"not","observing","not observing",1
"shouldn't","there","shouldn't there",3
"didn't","shower","didn't shower",2
"not","fulfilling","not fulfilling",1
"couldn't","really","couldn't really",5
"not","detecting","not detecting",2
"not","write","not write",3
"not","surprising","not surprising",6
"can't","cover","can't cover",2
"not","super-strong","not super-strong",1
"not","sustain","not sustain",1
"don't","have","don't have",737
"won't","so","won't so",1
"wouldn't","wash","wouldn't wash",1
"not","forget","not forget",2
"not","opposing","not opposing",1
"won't","melt","won't melt",1
"isn't","tolerance","isn't tolerance",1
"don't","hear","don't hear",3
"wouldn't","occam's-","wouldn't occam's-",1
"not","blight","not blight",1
"wouldn't","that","wouldn't that",14
"don't","conceive","don't conceive",1
"won't","they","won't they",2
"isn't","teflon","isn't teflon",1
"didn't","for","didn't for",1
"not","expected","not expected",1
"don't","imagine","don't imagine",1
"isn't","strong","isn't strong",1
"isn't","practical","isn't practical",1
"weren't","necessarily","weren't necessarily",1
"don't","nope","don't nope",1
"not","compromise","not compromise",1
"didn't","keep","didn't keep",1
"isn't","denied","isn't denied",1
"don't","offer","don't offer",1
"didn't","accept","didn't accept",3
"not","experienced","not experienced",1
"not","intrinsically","not intrinsically",1
"not","political","not political",1
"shouldn't","expect","shouldn't expect",1
"not","bound","not bound",2
"not","accused","not accused",1
"not","break","not break",1
"haven't","interviewed","haven't interviewed",1
"can't","enough","can't enough",1
"didn't","hurt","didn't hurt",1
"wasn't","but","wasn't but",1
"doesn't","it's","doesn't it's",5
"not","broad","not broad",1
"don't","swallow","don't swallow",1
"haven't","latched","haven't latched",1
"not","wild","not wild",1
"wouldn't","think","wouldn't think",6
"didn't","okay","didn't okay",3
"didn't","sorry","didn't sorry",1
"not","congenial","not congenial",1
"aren't","too","aren't too",1
"not","trivial","not trivial",2
"not","for","not for",32
"not","original","not original",1
"aren't","already","aren't already",1
"aren't","involved","aren't involved",1
"not","","",NA
"","not ","",NA
"","240","",NA
"not","great","not great",4
"not","tied","not tied",1
"didn't","maybe","didn't maybe",1
"not","linked","not linked",1
"not","obviously","not obviously",2
"hasn't","showered","hasn't showered",1
"not","here's","not here's",1
"not","men","not men",1
"not","buying","not buying",1
"not","separating","not separating",1
"didn't","hate","didn't hate",1
"can't","step","can't step",1
"didn't","really","didn't really",71
"isn't","once","isn't once",1
"won't","uh","won't uh",2
"not","obli-","not obli-",1
"not","punitive","not punitive",1
"doesn't","yeah","doesn't yeah",4
"can't","always","can't always",2
"hadn't","found","hadn't found",2
"not","therefore","not therefore",1
"doesn't","isn't","doesn't isn't",3
"not","back","not back",1
"haven't","but","haven't but",2
"isn't","falsifiable","isn't falsifiable",1
"won't","um","won't um",1
"hasn't","it's","hasn't it's",1
"don't","fik","don't fik",1
"not","hard","not hard",11
"aren't","ordinary","aren't ordinary",1
"didn't","none","didn't none",1
"didn't","perceive","didn't perceive",1
"don't","interpret","don't interpret",1
"doesn't","present","doesn't present",3
"didn't","shift","didn't shift",1
"don't","jive","don't jive",1
"not","starlings","not starlings",1
"didn't","though","didn't though",1
"won't","happen","won't happen",3
"not","stopping","not stopping",1
"don't","hesitate","don't hesitate",1
"not","harm","not harm",1
"don't","fit","don't fit",5
"doesn't","succeed","doesn't succeed",1
"not","absolute","not absolute",1
"don't","fix","don't fix",1
"can't","guarantee","can't guarantee",1
"don't","divorce","don't divorce",1
"not","disciplined","not disciplined",1
"not","straight","not straight",2
"can't","back","can't back",1
"not","plugged","not plugged",2
"not","predicted","not predicted",1
"can't","surprise","can't surprise",1
"wasn't","listening","wasn't listening",1
"didn't","venture","didn't venture",1
"not","priming","not priming",1
"not","foolin'","not foolin'",1
"not","regulated","not regulated",1
"don't","provide","don't provide",1
"can't","believe","can't believe",14
"don't","especially","don't especially",1
"not","keep","not keep",3
"don't","wa-","don't wa-",1
"not","parallel","not parallel",8
"don't","with","don't with",1
"wasn't","getting","wasn't getting",2
"doesn't","notice","doesn't notice",1
"not","sculpted","not sculpted",1
"don't","listen","don't listen",1
"wasn't","showing","wasn't showing",1
"couldn't","care","couldn't care",1
"isn't","seeming","isn't seeming",1
"wasn't","closed","wasn't closed",1
"not","hurt","not hurt",1
"not","earning","not earning",1
"not","perceived","not perceived",1
"don't","enhance","don't enhance",1
"not","reading","not reading",1
"not","perfect","not perfect",2
"doesn't","correlate","doesn't correlate",2
"not","okay","not okay",10
"not","avoidable","not avoidable",1
"wasn't","dyed","wasn't dyed",1
"ain't","agreeing","ain't agreeing",1
"not","theirs","not theirs",1
"doesn't","surprise","doesn't surprise",1
"doesn't","that-","doesn't that-",1
"can't","keep","can't keep",2
"won't","reveal","won't reveal",1
"don't","offspring","don't offspring",1
"not","d-n-a","not d-n-a",1
"not","attainable","not attainable",1
"didn't","have","didn't have",151
"didn't","carol","didn't carol",1
"can't","identify","can't identify",1
"not","down","not down",2
"can't","they're","can't they're",1
"can't","hurt","can't hurt",1
"aren't","plant","aren't plant",1
"didn't","hear","didn't hear",14
"doesn't","the","doesn't the",9
"not","a","not a",412
"can't","explain","can't explain",4
"needn't","travel","needn't travel",1
"not","distributed","not distributed",2
"can't","double-count","can't double-count",2
"not","pre","not pre",1
"wouldn't","then","wouldn't then",1
"can't","okay","can't okay",1
"not","e","not e",1
"not","oversensationalized","not oversensationalized",1
"not","songbirds","not songbirds",1
"doesn't","fall","doesn't fall",1
"not","closed","not closed",1
"not","fantasy","not fantasy",1
"not","only","not only",194
"not","i","not i",56
"don't","assign","don't assign",1
"not","l","not l",1
"wouldn't","they","wouldn't they",4
"not","p","not p",5
"aren't","can't","aren't can't",1
"not","think","not think",11
"not","breed","not breed",1
"not","compute","not compute",1
"wouldn't","change","wouldn't change",1
"not","exist","not exist",10
"not","x","not x",2
"can't","watch","can't watch",1
"not","y","not y",1
"don't","create","don't create",1
"not","z","not z",3
"doesn't","always","doesn't always",6
"not","nongrammatical","not nongrammatical",1
"hadn't","looked","hadn't looked",1
"didn't","contain","didn't contain",1
"not","c-squared","not c-squared",1
"wasn't","built","wasn't built",1
"don't","produce","don't produce",6
"not","who","not who",5
"isn't","separated","isn't separated",3
"don't","stop","don't stop",1
"won't","find","won't find",2
"not","green","not green",1
"not","getting","not getting",27
"not","using","not using",12
"not","showing","not showing",2
"didn't","win","didn't win",3
"not","traveling","not traveling",1
"not","why","not why",10
"not","speaking","not speaking",3
"not","acting","not acting",4
"aren't","completely","aren't completely",1
"can't","struggle","can't struggle",1
"can't","circulate","can't circulate",1
"can't","there","can't there",3
"not","impossible","not impossible",1
"not","stick","not stick",1
"isn't","equal","isn't equal",2
"don't","appear","don't appear",4
"don't","flicker","don't flicker",1
"not","whether","not whether",4
"wouldn't","suggest","wouldn't suggest",1
"not","consonant","not consonant",1
"wasn't","good","wasn't good",1
"isn't","independent","isn't independent",1
"won't","represent","won't represent",1
"not","spaced","not spaced",1
"not","sucking","not sucking",1
"haven't","picked","haven't picked",1
"not","confirming","not confirming",1
"didn't","rank","didn't rank",1
"doesn't","vary","doesn't vary",2
"didn't","jive","didn't jive",1
"hasn't","the","hasn't the",1
"can't","target","can't target",1
"couldn't","make","couldn't make",2
"not","decaying","not decaying",1
"not","have","not have",101
"not","forcing","not forcing",1
"not","hear","not hear",1
"didn't","react","didn't react",1
"hadn't","been","hadn't been",8
"not","connect","not connect",1
"weren't","getting","weren't getting",3
"not","homologous","not homologous",1
"not","should","not should",1
"couldn't","seem","couldn't seem",1
"not","dieting","not dieting",1
"not","supported","not supported",1
"not","unders-","not unders-",1
"couldn't","run","couldn't run",1
"don't","respond","don't respond",5
"isn't","standards","isn't standards",1
"not","market","not market",1
"doesn't","cuz","doesn't cuz",1
"not","knowing","not knowing",7
"didn't","put","didn't put",15
"can't","have","can't have",40
"don't","right","don't right",3
"not","convenient","not convenient",1
"not","religious","not religious",1
"not","during","not during",1
"don't","we-","don't we-",1
"not","estimated","not estimated",1
"not","pulling","not pulling",2
"can't","hear","can't hear",7
"not","fun","not fun",3
"not","hazelnut","not hazelnut",1
"not","affair","not affair",1
"not","suggest","not suggest",1
"not","signing","not signing",1
"isn't","old","isn't old",1
"not","basset","not basset",1
"not","available","not available",3
"not","proliferate","not proliferate",1
"don't","lemme","don't lemme",2
"not","unusual","not unusual",3
"wasn't","enough","wasn't enough",1
"not","hume's","not hume's",1
"can't","rule","can't rule",1
"hasn't","happened","hasn't happened",2
"doesn't","spend","doesn't spend",1
"haven't","some","haven't some",1
"didn't","marry","didn't marry",2
"doesn't","produce","doesn't produce",1
"not","put","not put",7
"not","notice","not notice",2
"not","induce","not induce",1
"didn't","whatever","didn't whatever",1
"isn't","quite","isn't quite",4
"isn't","talking","isn't talking",1
"not","approximate","not approximate",1
"shouldn't","examine","shouldn't examine",1
"not","focus","not focus",1
"can't","they've","can't they've",1
"didn't","don't","didn't don't",1
"not","imply","not imply",2
"not","we'll","not we'll",2
"not","required","not required",6
"doesn't","raise","doesn't raise",1
"don't","ordinarily","don't ordinarily",1
"not","recurring","not recurring",1
"can't","remember","can't remember",38
"weren't","depending","weren't depending",1
"not","drawing","not drawing",3
"don't","manufacture","don't manufacture",1
"not","doable","not doable",1
"not","share","not share",2
"don't","nobody","don't nobody",1
"not","exposed","not exposed",1
"isn't","measured","isn't measured",1
"hasn't","changed","hasn't changed",3
"not","certain","not certain",3
"don't","for","don't for",4
"not","cytotoxic","not cytotoxic",1
"not","employed","not employed",1
"don't","visit","don't visit",1
"wouldn't","pick","wouldn't pick",1
"not","scream","not scream",1
"don't","ord-","don't ord-",1
"not","better","not better",3
"not","enough","not enough",27
"not","till","not till",2
"isn't","shown","isn't shown",1
"don't","cheat","don't cheat",1
"haven't","like","haven't like",1
"weren't","educated","weren't educated",1
"not","neither","not neither",2
"didn't","stop","didn't stop",1
"weren't","","",NA
"","weren't ","",NA
"","4","",NA
"not","amoral","not amoral",1
"not","drain","not drain",1
"wouldn't","one","wouldn't one",1
"doesn't","necessarily","doesn't necessarily",22
"doesn't","cha-","doesn't cha-",1
"ain't","dissing","ain't dissing",1
"wouldn't","find","wouldn't find",6
"not","with","not with",14
"not","loyal","not loyal",1
"weren't","controlled","weren't controlled",1
"don't","remove","don't remove",1
"don't","understa-","don't understa-",1
"can't","normally","can't normally",1
"isn't","one","isn't one",3
"aren't","marching","aren't marching",1
"not","time","not time",2
"don't","intend","don't intend",3
"not","always","not always",28
"not","monday","not monday",1
"doesn't","sup-","doesn't sup-",1
"not","reproducing","not reproducing",1
"doesn't","which","doesn't which",1
"don't","process","don't process",1
"not","stressed","not stressed",1
"isn't","growing","isn't growing",1
"don't","give","don't give",16
"can't","understand","can't understand",8
"doesn't","stall","doesn't stall",2
"couldn't","connect","couldn't connect",1
"not","rivalry","not rivalry",1
"not","nest","not nest",1
"don't","non-descriminately","don't non-descriminately",1
"don't","read","don't read",6
"not","able","not able",9
"can't","retain","can't retain",1
"hadn't","s-","hadn't s-",1
"weren't","having","weren't having",1
"couldn't","decide","couldn't decide",1
"hadn't","ever","hadn't ever",1
"not","develop","not develop",3
"don't","underestimate","don't underestimate",2
"not","rape","not rape",1
"isn't","dogbert","isn't dogbert",2
"don't","dimensionalize","don't dimensionalize",1
"wouldn't","","",NA
"","wouldn't ","",NA
"","14","",NA
"don't","flush","don't flush",1
"not","implying","not implying",1
"doesn't","complete","doesn't complete",2
"don't","check","don't check",1
"not","distinguish","not distinguish",2
"not","inf-","not inf-",1
"wasn't","around","wasn't around",1
"haven't","divided","haven't divided",1
"don't","publish","don't publish",2
"not","finished","not finished",5
"wouldn't","let","wouldn't let",4
"hasn't","spoken","hasn't spoken",1
"not","poetry","not poetry",1
"not","hunting","not hunting",1
"isn't","okay","isn't okay",3
"isn't","compatible","isn't compatible",1
"couldn't","understand","couldn't understand",5
"wouldn't","you","wouldn't you",18
"not","singing","not singing",1
"wouldn't","prosecute","wouldn't prosecute",1
"isn't","evaluate","isn't evaluate",1
"didn't","expose","didn't expose",2
"don't","drink","don't drink",4
"didn't","either","didn't either",2
"wouldn't","dare","wouldn't dare",1
"won't","socialize","won't socialize",1
"don't","manipulate","don't manipulate",1
"can't","","",NA
"","can't ","",NA
"","39","",NA
"didn't","recognize","didn't recognize",4
"not","laying","not laying",1
"don't","attribute","don't attribute",1
"not","stop","not stop",1
"don't","hold","don't hold",2
"not","easy","not easy",8
"isn't","you","isn't you",5
"isn't","aban-","isn't aban-",1
"wasn't","being","wasn't being",2
"didn't","mow","didn't mow",1
"don't","help","don't help",4
"weren't","paid","weren't paid",1
"not","irrelevant","not irrelevant",1
"doesn't","mkay","doesn't mkay",1
"weren't","after","weren't after",1
"haven't","con-","haven't con-",1
"doesn't","stand","doesn't stand",1
"doesn't","get","doesn't get",30
"couldn't","you","couldn't you",15
"not","analytic","not analytic",3
"not","resource","not resource",1
"weren't","a","weren't a",3
"isn't","only","isn't only",3
"doesn't","call","doesn't call",1
"not","literature","not literature",1
"not","bulk","not bulk",1
"not","letters","not letters",1
"wouldn't","completely","wouldn't completely",1
"don't","base","don't base",1
"wasn't","mad","wasn't mad",2
"won't","write","won't write",1
"not","publish","not publish",3
"doesn't","worry","doesn't worry",1
"weren't","i","weren't i",2
"can't","stop","can't stop",2
"isn't","allopatric","isn't allopatric",1
"not","isolated","not isolated",1
"haven't","responded","haven't responded",2
"won't","know","won't know",4
"not","universally","not universally",1
"don't","disagree","don't disagree",4
"couldn't","handle","couldn't handle",1
"doesn't","occur","doesn't occur",9
"wasn't","each","wasn't each",1
"aren't","allowed","aren't allowed",1
"not","rare","not rare",1
"not","ten","not ten",1
"wasn't","done","wasn't done",1
"not","constant","not constant",3
"not","occurred","not occurred",1
"aren't","even","aren't even",2
"don't","why","don't why",3
"don't","resist","don't resist",1
"don't","hablo","don't hablo",1
"couldn't","very","couldn't very",1
"wouldn't","happen","wouldn't happen",3
"don't","order","don't order",1
"wouldn't","already","wouldn't already",1
"can't","dig","can't dig",1
"not","accustomed","not accustomed",1
"can't","learn","can't learn",6
"wasn't","quite","wasn't quite",4
"not","inside","not inside",1
"not","shuffling","not shuffling",1
"not","socialized","not socialized",1
"doesn't","much","doesn't much",1
"not","th-","not th-",4
"don't","redo","don't redo",1
"not","glass","not glass",1
"wouldn't","i","wouldn't i",7
"not","difficult","not difficult",2
"not","women","not women",1
"not","dependent","not dependent",4
"not","active","not active",1
"didn't","already","didn't already",1
"didn't","give","didn't give",10
"not","telem-","not telem-",1
"couldn't","measure","couldn't measure",1
"not","sequentially","not sequentially",1
"not","michigan","not michigan",3
"didn't","read","didn't read",7
"not","maxim","not maxim",1
"weren't","sure","weren't sure",5
"didn't","discuss","didn't discuss",1
"don't","remember","don't remember",70
"doesn't","look","doesn't look",33
"can't","a","can't a",1
